"age","uruCovidN","proportionInfected"
"0-14",565,9.69291473666152
"15-24",846,14.5136387030365
"25-34",1195,20.5009435580717
"35-44",916,15.7145307943043
"45-54",889,15.251329559101
"55-64",715,12.2662549322354
"65-74",341,5.85006004460456
"75+",362,6.2103276719849
