"Fit","Intercept","InterceptL","InterceptH","Slope","SlopeL","SlopeH","R_squared"
"Fatality",-6.71788572787584,-7.08223591294439,-6.3535355428073,0.104595371207883,0.0976307809590142,0.111559961456753,0.95627586703002
"Critical",-4.62023656132575,-5.00475232097862,-4.23572080167288,0.0849365393399195,0.0775864821148596,0.0922865965649793,0.928310219788944
"Severe",-1.07691933039274,-1.44439259736222,-0.709446063423263,0.0493962348859212,0.0423719466139822,0.0564205231578601,0.82744488581622
